event_id,user_id,event_type,event_date,product_id,amount,traffic_source
8490,5024,page_view,58:24.5,205,,social
2296,1713,page_view,10:26.3,201,,organic
3896,2558,page_view,11:09.0,404,,organic
2297,1713,add_to_cart,13:26.3,201,,organic
2298,1713,checkout_start,16:26.3,201,,organic
8438,4993,page_view,20:55.4,205,,organic
2299,1713,payment_info,23:26.3,201,,organic
2300,1713,purchase,25:26.3,201,48.3,organic
8649,5102,page_view,25:27.6,102,,organic
3897,2558,add_to_cart,29:09.0,404,,organic
2101,1591,page_view,42:46.7,305,,organic
3368,2276,page_view,48:25.5,201,,organic
8335,4942,page_view,01:39.0,205,,organic
3369,2276,add_to_cart,03:25.5,201,,organic
7020,4279,page_view,27:01.6,101,,social
3889,2554,page_view,27:30.0,102,,paid_ads
2547,1850,page_view,28:28.1,205,,organic
2548,1850,add_to_cart,46:28.1,205,,organic
2549,1850,checkout_start,49:28.1,205,,organic
2550,1850,payment_info,56:28.1,205,,organic
1900,1485,page_view,59:50.7,305,,organic
2551,1850,purchase,01:28.1,205,180.27,organic
1901,1485,add_to_cart,08:50.7,305,,organic
8557,5063,page_view,11:55.9,205,,social
1902,1485,checkout_start,13:50.7,305,,organic
1903,1485,payment_info,15:50.7,305,,organic
8558,5063,add_to_cart,29:55.9,205,,social
9089,5330,page_view,32:58.5,102,,social
7876,4694,page_view,48:02.1,404,,paid_ads
1865,1463,page_view,53:43.9,101,,social
7877,4694,add_to_cart,57:02.1,404,,paid_ads
10115,5855,page_view,03:55.2,201,,organic
7878,4694,checkout_start,04:02.1,404,,paid_ads
7879,4694,payment_info,06:02.1,404,,paid_ads
7880,4694,purchase,11:02.1,404,40.96,paid_ads
3329,2265,page_view,11:49.4,404,,organic
10116,5855,add_to_cart,11:55.2,201,,organic
9219,5405,page_view,14:09.6,101,,organic
7343,4431,page_view,16:15.7,101,,email
2487,1819,page_view,17:41.0,201,,social
3615,2415,page_view,21:52.7,404,,email
8996,5285,page_view,23:42.5,102,,social
7344,4431,add_to_cart,24:15.7,101,,email
1926,1501,page_view,25:50.8,102,,paid_ads
7345,4431,checkout_start,31:15.7,101,,email
9048,5309,page_view,31:40.1,101,,paid_ads
3616,2415,add_to_cart,31:52.7,404,,email
3617,2415,checkout_start,33:52.7,404,,email
7346,4431,payment_info,38:15.7,101,,email
7347,4431,purchase,41:15.7,101,125.38,email
3618,2415,payment_info,41:52.7,404,,email
8205,4871,page_view,45:49.2,305,,paid_ads
3619,2415,purchase,46:52.7,404,112.42,email
1818,1443,page_view,55:48.6,305,,organic
3568,2390,page_view,59:35.9,102,,organic
8206,4871,add_to_cart,05:49.2,305,,paid_ads
8207,4871,checkout_start,14:49.2,305,,paid_ads
8208,4871,payment_info,22:49.2,305,,paid_ads
8209,4871,purchase,26:49.2,305,46.08,paid_ads
4553,2903,page_view,42:45.1,305,,social
3488,2348,page_view,59:22.4,404,,social
6947,4233,page_view,19:33.8,305,,organic
3417,2310,page_view,26:01.4,101,,organic
3418,2310,add_to_cart,30:01.4,101,,organic
3419,2310,checkout_start,31:01.4,101,,organic
3926,2574,page_view,42:14.5,205,,social
7118,4328,page_view,53:49.9,101,,social
5251,3289,page_view,04:37.7,205,,social
6350,3899,page_view,21:09.7,102,,organic
7917,4715,page_view,42:40.1,305,,social
6215,3823,page_view,53:13.8,404,,paid_ads
10151,5881,page_view,55:02.5,404,,organic
9503,5548,page_view,56:18.0,404,,paid_ads
9504,5548,add_to_cart,58:18.0,404,,paid_ads
8485,5022,page_view,58:46.0,205,,social
9505,5548,checkout_start,03:18.0,404,,paid_ads
7761,4642,page_view,04:15.8,404,,paid_ads
9506,5548,payment_info,05:18.0,404,,paid_ads
9507,5548,purchase,10:18.0,404,145.91,paid_ads
9431,5510,page_view,54:42.9,102,,organic
9025,5298,page_view,57:48.1,201,,social
5862,3616,page_view,13:28.8,205,,paid_ads
8304,4924,page_view,17:43.0,201,,organic
5270,3300,page_view,27:48.1,205,,organic
5271,3300,add_to_cart,35:48.1,205,,organic
5272,3300,checkout_start,42:48.1,205,,organic
2505,1829,page_view,48:08.7,404,,social
5273,3300,payment_info,48:48.1,205,,organic
5274,3300,purchase,49:48.1,205,185.98,organic
3019,2097,page_view,55:00.8,101,,organic
8156,4848,page_view,59:29.8,205,,organic
1689,1382,page_view,02:37.0,201,,organic
6096,3755,page_view,11:05.2,102,,paid_ads
8647,5100,page_view,12:10.0,205,,social
6097,3755,add_to_cart,14:05.2,102,,paid_ads
10062,5829,page_view,17:01.7,101,,organic
9910,5757,page_view,20:25.5,102,,social
6424,3941,page_view,28:15.1,102,,paid_ads
9214,5400,page_view,32:57.3,404,,organic
10063,5829,add_to_cart,37:01.7,101,,organic
8285,4912,page_view,37:14.9,102,,social
6496,3985,page_view,37:17.6,101,,organic
3335,2267,page_view,39:26.3,201,,email
3336,2267,add_to_cart,42:26.3,201,,email
10064,5829,checkout_start,46:01.7,101,,organic
9227,5409,page_view,48:46.0,201,,paid_ads
6477,3974,page_view,52:18.5,102,,organic
3337,2267,checkout_start,52:26.3,201,,email
6478,3974,add_to_cart,54:18.5,102,,organic
10272,5941,page_view,54:30.5,205,,paid_ads
